debtor_no	corp_name	ein	iso_country	addr_1	addr_2	municipality	region	zipcode	reference_number	date_of_invoice	pay_by_date	invoice_amt	payment_amount	date_paid	terms	curr	exp_date
ACCT-10016	EverPeak Logistics	TAX200016	SG	116 Market St	Suite 26	Seattle	TX	70016	INV-20250016	2025-02-18	2025-03-20	777.60	777.60	2025-03-10	Net 60	USD	2025-07-17
ACCT-10017	Ionis Manufacturing	TAX200017	US	117 Market St	Suite 27	Miami	CA	70017	INV-20250017	2025-02-21	2025-03-23	794.95	784.95	2025-03-13	Net 45	USDX	2025-07-18
ACCT-10018	Ionis Manufacturing	TAX200018	FR	118 Market St	Suite 28	Dallas	WA	70018	INV-20250018	2025-02-24	2025-03-26	812.30	792.30	2025-03-16	EOM 30	GBP	2025-07-19
	Ionis Manufacturing	TAX200019	GB	119 Market St	Suite 29	Dallas	CA	70019	INV-20250019	2025-02-27	2025-03-29	829.65	799.65	2025-03-19	Net 45	AUD	2025-07-20
ACCT-10020	Horizon Textiles	TAX200020	FR	120 Market St	Suite 30	Dallas	FL	70020	INV-20250020	2025-03-02	2025-04-01	847.00	847.00	2025-03-22	EOM 30	AUD	2025-07-21
ACCT-10021	EverPeak Logistics	TAX200021	SG	121 Market St	Suite 31	Chicago	TX	70021	INV-20250021	2025-03-05	2025-04-04	864.35	854.35	2025-03-25	Net 45	USD	2025-07-22
ACCT-10022	EverPeak Logistics	TAX200022	US	122 Market St	Suite 32	Dallas	IL	70022	INV-20250022	2025-03-08	2025-03-06	881.70	861.70	2025-03-28	Net 60	GBP	2025-07-23
ACCT-10023	BlueRiver Foods	TAX200023	AU	123 Market St	Suite 33	Chicago	CO	70023	INV-20250023	2025-03-11	2025-04-10	899.05	869.05	2025-03-31	Net 30	INR	2025-07-24
ACCT-10024	BlueRiver Foods	TAX200024	AU	124 Market St	Suite 34	Atlanta	TX	70024	INV-20250024	2025-03-14	2025-04-13	916.40	916.40	2025-04-03	Net 30	AUD	2025-07-25
ACCT-10025	Granite Works	TAX200025	AU	125 Market St	Suite 35	Boston	FL	70025	INV-20250025	2025-03-17	2025-04-16	933.75	923.75	2025-04-06	Net 60	INR	2025-07-26
ACCT-10026	Granite Works	TAX200026	US	126 Market St	Suite 36	Miami	IL	70026	INV-20250026	2025-03-20	2025-04-19	951.10	1001.10	2025-04-09	Net 30	SGD	2025-07-27
ACCT-10027	Crestline Pharma	TAX200027	FR	127 Market St	Suite 37	Chicago	CA	70027	INV-20250027	2025-03-23	2025-04-22	968.45	938.45	2025-04-12	Net 60	INR	2025-07-28
