account_nox|company_nam|governmentid|country_codes|address_line1|address_line2|city_nme|state_cdx|post_code1|invoice_number|invoice_dte|due_dte|invoice_amnt|paid_amounts|paid_dates|payment_terms|currency|as_of_dt
ACCT-10015|EverPeak Logistics|TAX200015|FR|115 Market St|Suite 25|Austin|CO|70015|INV-20250015|2025-02-15|2025-03-17|760.25|730.25|2025-03-07|Net 30|USD|2025-07-16
ACCT-10016|Ionis Manufacturing|TAX200016|US|116 Market St|Suite 26|Austin|FL|70016|INV-20250016|2025-02-18|2025-03-20|777.60|777.60|2025-03-10|Net 45|EUR|2025-07-17
ACCT-10017|Granite Works|TAX200017|IN|117 Market St|Suite 27|Miami|WA|70017|INV-20250017|2025-02-21|2025-03-23|794.95|784.95|2025-03-13|Net 30|USDX|2025-07-18
ACCT-10018|Juniper Auto Parts|TAX200018|NL|118 Market St|Suite 28|Atlanta|GA|70018|INV-20250018|2025-02-24|2025-03-26|812.30|792.30|2025-03-16|Net 30|AUD|2025-07-19
|Ionis Manufacturing|TAX200019|IN|119 Market St|Suite 29|Chicago|IL|70019|INV-20250019|2025-02-27|2025-03-29|829.65|799.65|2025-03-19|Net 30|INR|2025-07-20
ACCT-10020|Ionis Manufacturing|TAX200020|SG|120 Market St|Suite 30|Austin|IL|70020|INV-20250020|2025-03-02|2025-04-01|847.00|847.00|2025-03-22|EOM 30|INR|2025-07-21
ACCT-10021|Juniper Auto Parts|TAX200021|NL|121 Market St|Suite 31|Atlanta|MA|70021|INV-20250021|2025-03-05|2025-04-04|864.35|854.35|2025-03-25|Net 60|EUR|2025-07-22
ACCT-10022|Crestline Pharma|TAX200022|FR|122 Market St|Suite 32|Miami|IL|70022|INV-20250022|2025-03-08|2025-03-06|881.70|861.70|2025-03-28|EOM 30|EUR|2025-07-23
ACCT-10023|Delta Retail Group|TAX200023|AU|123 Market St|Suite 33|Miami|TX|70023|INV-20250023|2025-03-11|2025-04-10|899.05|869.05|2025-03-31|Net 60|GBP|2025-07-24
ACCT-10024|Horizon Textiles|TAX200024|DE|124 Market St|Suite 34|Atlanta|MA|70024|INV-20250024|2025-03-14|2025-04-13|916.40|916.40|2025-04-03|Net 60|INR|2025-07-25
ACCT-10025|BlueRiver Foods|TAX200025|GB|125 Market St|Suite 35|Boston|IL|70025|INV-20250025|2025-03-17|2025-04-16|933.75|923.75|2025-04-06|EOM 30|SGD|2025-07-26
ACCT-10026|Apex Metals Ltd|TAX200026|DE|126 Market St|Suite 36|Austin|TX|70026|INV-20250026|2025-03-20|2025-04-19|951.10|1001.10|2025-04-09|Net 30|GBP|2025-07-27
ACCT-10027|BlueRiver Foods|TAX200027|GB|127 Market St|Suite 37|Dallas|CA|70027|INV-20250027|2025-03-23|2025-04-22|968.45|938.45|2025-04-12|EOM 30|INR|2025-07-28
ACCT-10028|EverPeak Logistics|TAX200028|AU|128 Market St|Suite 38|Austin|FL|70028|INV-20250028|2025-03-26|2025-04-25|985.80|985.80|2025-04-15|EOM 30|EUR|2025-07-29
